Município,Microrregião,Estado
Pequizeiro,Guaraí,Tocantins
Pedro Afonso,Guaraí,Tocantins
Itaporã do Tocantins,Guaraí,Tocantins
Guaraí,Guaraí,Tocantins
Goianorte,Guaraí,Tocantins
Fortaleza do Tabocão,Guaraí,Tocantins
Couto Magalhães,Guaraí,Tocantins
Centenário,Guaraí,Tocantins
Bom Jesus do Tocantins,Guaraí,Tocantins
Tupiratins,Colinas do Tocantins,Tocantins
Palmeirante,Colinas do Tocantins,Tocantins
Juarina,Colinas do Tocantins,Tocantins
Itapiratins,Colinas do Tocantins,Tocantins
Itacajá,Colinas do Tocantins,Tocantins
Colinas do Tocantins,Colinas do Tocantins,Tocantins
Brasilândia do Tocantins,Colinas do Tocantins,Tocantins
Bernardo Sayão,Colinas do Tocantins,Tocantins
Bandeirantes do Tocantins,Colinas do Tocantins,Tocantins
Tocantinópolis,Tocantinópolis,Tocantins
Santa Terezinha do Tocantins,Tocantinópolis,Tocantins
Nazaré,Tocantinópolis,Tocantins
Palmeiras do Tocantins,Tocantinópolis,Tocantins
Maurilândia do Tocantins,Tocantinópolis,Tocantins
Luzinópolis,Tocantinópolis,Tocantins
Cachoeirinha,Tocantinópolis,Tocantins
Aguiarnópolis,Tocantinópolis,Tocantins
Sítio Novo do Tocantins,Araguatins,Tocantins
São Sebastião do Tocantins,Araguatins,Tocantins
São Miguel do Tocantins,Araguatins,Tocantins
São Bento do Tocantins,Araguatins,Tocantins
Sampaio,Araguatins,Tocantins
Praia Norte,Araguatins,Tocantins
Itaguatins,Araguatins,Tocantins
Esperantina,Araguatins,Tocantins
Carrasco Bonito,Araguatins,Tocantins
Buriti do Tocantins,Araguatins,Tocantins
Axixá do Tocantins,Araguatins,Tocantins
Augustinópolis,Araguatins,Tocantins
Araguatins,Araguatins,Tocantins
Talismã,Gurupi,Tocantins
Sucupira,Gurupi,Tocantins
São Valério,Gurupi,Tocantins
São Salvador do Tocantins,Gurupi,Tocantins
Sandolândia,Gurupi,Tocantins
Peixe,Gurupi,Tocantins
Paranã,Gurupi,Tocantins
Palmeirópolis,Gurupi,Tocantins
Jaú do Tocantins,Gurupi,Tocantins
Gurupi,Gurupi,Tocantins
Formoso do Araguaia,Gurupi,Tocantins
Figueirópolis,Gurupi,Tocantins
Dueré,Gurupi,Tocantins
Crixás do Tocantins,Gurupi,Tocantins
Cariri do Tocantins,Gurupi,Tocantins
Araguaçu,Gurupi,Tocantins
Alvorada,Gurupi,Tocantins
Aliança do Tocantins,Gurupi,Tocantins
Taipas do Tocantins,Dianópolis,Tocantins
Taguatinga,Dianópolis,Tocantins
Rio da Conceição,Dianópolis,Tocantins
Porto Alegre do Tocantins,Dianópolis,Tocantins
Ponte Alta do Bom Jesus,Dianópolis,Tocantins
Novo Jardim,Dianópolis,Tocantins
Novo Alegre,Dianópolis,Tocantins
Lavandeira,Dianópolis,Tocantins
Dianópolis,Dianópolis,Tocantins
Conceição do Tocantins,Dianópolis,Tocantins
Combinado,Dianópolis,Tocantins
Aurora do Tocantins,Dianópolis,Tocantins
Arraias,Dianópolis,Tocantins
Almas,Dianópolis,Tocantins
São Luís,São Luís,Maranhão
São José de Ribamar,São Luís,Maranhão
Santa Rita,São Luís,Maranhão
Rosário,São Luís,Maranhão
Raposa,São Luís,Maranhão
Paço do Lumiar,São Luís,Maranhão
Bacabeira,São Luís,Maranhão
Alcântara,São Luís,Maranhão
Turilândia,Pinheiro,Maranhão
Turiaçu,Pinheiro,Maranhão
São Bento,Pinheiro,Maranhão
Santa Helena,Pinheiro,Maranhão
Presidente Sarney,Pinheiro,Maranhão
Pinheiro,Pinheiro,Maranhão
Peri Mirim,Pinheiro,Maranhão
Pedro do Rosário,Pinheiro,Maranhão
Palmeirândia,Pinheiro,Maranhão
Bequimão,Pinheiro,Maranhão
Bacurituba,Pinheiro,Maranhão
Urbano Santos,Chapadinha,Maranhão
São Benedito do Rio Preto,Chapadinha,Maranhão
Santa Quitéria do Maranhão,Chapadinha,Maranhão
Milagres do Maranhão,Chapadinha,Maranhão
Mata Roma,Chapadinha,Maranhão
Chapadinha,Chapadinha,Maranhão
Buriti,Chapadinha,Maranhão
Brejo,Chapadinha,Maranhão
Belágua,Chapadinha,Maranhão
Anapurus,Chapadinha,Maranhão
Vargem Grande,Itapecuru Mirim,Maranhão
Presidente Vargas,Itapecuru Mirim,Maranhão
Pirapemas,Itapecuru Mirim,Maranhão
Nina Rodrigues,Itapecuru Mirim,Maranhão
Miranda do Norte,Itapecuru Mirim,Maranhão
Matões do Norte,Itapecuru Mirim,Maranhão
Itapecuru Mirim,Itapecuru Mirim,Maranhão
Cantanhede,Itapecuru Mirim,Maranhão
Anajatuba,Itapecuru Mirim,Maranhão
Vitória do Mearim,Viana,Maranhão
Viana,Viana,Maranhão
São Vicente Ferrer,Viana,Maranhão
São João Batista,Viana,Maranhão
Penalva,Viana,Maranhão
Olinda Nova do Maranhão,Viana,Maranhão
Matinha,Viana,Maranhão
Cajari,Viana,Maranhão
Cajapió,Viana,Maranhão
Arari,Viana,Maranhão
Santo Amaro do Maranhão,Barreirinhas,Maranhão
Primeira Cruz,Barreirinhas,Maranhão
Presidente Juscelino,São Luís,Maranhão
Morros,São Luís,Maranhão
Icatu,São Luís,Maranhão
Humberto de Campos,Barreirinhas,Maranhão
Cachoeira Grande,São Luís,Maranhão
Barreirinhas,Barreirinhas,Maranhão
Axixá,São Luís,Maranhão
Tutóia,Tutóia - Araioses,Maranhão
São Bernardo,Tutóia - Araioses,Maranhão
Santana do Maranhão,Tutóia - Araioses,Maranhão
Paulino Neves,Tutóia - Araioses,Maranhão
Magalhães de Almeida,Tutóia - Araioses,Maranhão
Araioses,Tutóia - Araioses,Maranhão
Água Doce do Maranhão,Tutóia - Araioses,Maranhão
Serrano do Maranhão,Cururupu,Maranhão
Porto Rico do Maranhão,Cururupu,Maranhão
Mirinzal,Cururupu,Maranhão
Guimarães,Cururupu,Maranhão
Cururupu,Cururupu,Maranhão
Central do Maranhão,Cururupu,Maranhão
Cedral,Cururupu,Maranhão
Bacuri,Cururupu,Maranhão
Apicum-Açu,Cururupu,Maranhão
Zé Doca,Santa Inês,Maranhão
Tufilândia,Santa Inês,Maranhão
São João do Carú,Santa Inês,Maranhão
Santa Luzia,Santa Inês,Maranhão
Santa Inês,Santa Inês,Maranhão
Pio XII,Santa Inês,Maranhão
Pindaré-Mirim,Santa Inês,Maranhão
Nova Olinda do Maranhão,Santa Inês,Maranhão
Monção,Santa Inês,Maranhão
Igarapé do Meio,Santa Inês,Maranhão
Governador Newton Bello,Santa Inês,Maranhão
Bom Jardim,Santa Inês,Maranhão
Bela Vista do Maranhão,Santa Inês,Maranhão
Araguanã,Santa Inês,Maranhão
Alto Alegre do Pindaré,Santa Inês,Maranhão
Vitorino Freire,Bacabal,Maranhão
Satubinha,Bacabal,Maranhão
São Mateus do Maranhão,Bacabal,Maranhão
São Luís Gonzaga do Maranhão,Bacabal,Maranhão
Paulo Ramos,Bacabal,Maranhão
Olho d'Água das Cunhãs,Bacabal,Maranhão
Marajá do Sena,Bacabal,Maranhão
Lagoa Grande do Maranhão,Bacabal,Maranhão
Lago Verde,Bacabal,Maranhão
Lago da Pedra,Bacabal,Maranhão
Conceição do Lago-Açu,Bacabal,Maranhão
Brejo de Areia,Bacabal,Maranhão
Bom Lugar,Bacabal,Maranhão
Bacabal,Bacabal,Maranhão
Alto Alegre do Maranhão,Bacabal,Maranhão
Altamira do Maranhão,Bacabal,Maranhão
Santa Luzia do Paruá,Governador Nunes Freire,Maranhão
Presidente Médici,Governador Nunes Freire,Maranhão
Maranhãozinho,Governador Nunes Freire,Maranhão
Maracaçumé,Governador Nunes Freire,Maranhão
Luís Domingues,Governador Nunes Freire,Maranhão
Junco do Maranhão,Governador Nunes Freire,Maranhão
Governador Nunes Freire,Governador Nunes Freire,Maranhão
Godofredo Viana,Governador Nunes Freire,Maranhão
Centro Novo do Maranhão,Governador Nunes Freire,Maranhão
Centro do Guilherme,Governador Nunes Freire,Maranhão
Carutapera,Governador Nunes Freire,Maranhão
Cândido Mendes,Governador Nunes Freire,Maranhão
Boa Vista do Gurupi,Governador Nunes Freire,Maranhão
Amapá do Maranhão,Governador Nunes Freire,Maranhão
Trizidela do Vale,Pedreiras,Maranhão
São Roberto,Pedreiras,Maranhão
São Raimundo do Doca Bezerra,Pedreiras,Maranhão
Santo Antônio dos Lopes,Pedreiras,Maranhão
Poção de Pedras,Pedreiras,Maranhão
Pedreiras,Pedreiras,Maranhão
Lima Campos,Pedreiras,Maranhão
Lago dos Rodrigues,Pedreiras,Maranhão
Lago do Junco,Pedreiras,Maranhão
Joselândia,Pedreiras,Maranhão
Igarapé Grande,Pedreiras,Maranhão
Esperantinópolis,Pedreiras,Maranhão
Capinzal do Norte,Pedreiras,Maranhão
Bernardo do Mearim,Pedreiras,Maranhão
São João do Soter,Caxias,Maranhão
Duque Bacelar,Caxias,Maranhão
Coelho Neto,Caxias,Maranhão
Caxias,Caxias,Maranhão
Aldeias Altas,Caxias,Maranhão
Afonso Cunha,Caxias,Maranhão
Timon,Timon,Maranhão
Parnarama,Timon,Maranhão
Matões,Timon,Maranhão
Buriti Bravo,Timon,Maranhão
Timbiras,Codó,Maranhão
Peritoró,Codó,Maranhão
Coroatá,Codó,Maranhão
Codó,Codó,Maranhão
Tuntum,Presidente Dutra,Maranhão
Senador Alexandre Costa,Presidente Dutra,Maranhão
São José dos Basílios,Presidente Dutra,Maranhão
São Domingos do Maranhão,Presidente Dutra,Maranhão
Santa Filomena do Maranhão,Presidente Dutra,Maranhão
Presidente Dutra,Presidente Dutra,Maranhão
Graça Aranha,Presidente Dutra,Maranhão
Governador Luiz Rocha,Presidente Dutra,Maranhão
Governador Eugênio Barros,Presidente Dutra,Maranhão
Governador Archer,Presidente Dutra,Maranhão
Gonçalves Dias,Presidente Dutra,Maranhão
Fortuna,Presidente Dutra,Maranhão
Dom Pedro,Presidente Dutra,Maranhão
Sucupira do Riachão,São João dos Patos,Maranhão
São João dos Patos,São João dos Patos,Maranhão
São Francisco do Maranhão,São João dos Patos,Maranhão
São Domingos do Azeitão,São João dos Patos,Maranhão
Pastos Bons,São João dos Patos,Maranhão
Passagem Franca,São João dos Patos,Maranhão
Paraibano,São João dos Patos,Maranhão
Nova Iorque,São João dos Patos,Maranhão
Lagoa do Mato,São João dos Patos,Maranhão
Benedito Leite,São João dos Patos,Maranhão
Barão de Grajaú,São João dos Patos,Maranhão
Sucupira do Norte,Colinas,Maranhão
Mirador,Colinas,Maranhão
Jatobá,Colinas,Maranhão
Colinas,Colinas,Maranhão
Vila Nova dos Martírios,Imperatriz,Maranhão
Senador La Rocque,Imperatriz,Maranhão
São Pedro da Água Branca,Imperatriz,Maranhão
São João do Paraíso,Imperatriz,Maranhão
Ribamar Fiquene,Imperatriz,Maranhão
Porto Franco,Imperatriz,Maranhão
Montes Altos,Imperatriz,Maranhão
Lajeado Novo,Imperatriz,Maranhão
João Lisboa,Imperatriz,Maranhão
Imperatriz,Imperatriz,Maranhão
Governador Edison Lobão,Imperatriz,Maranhão
Estreito,Imperatriz,Maranhão
Davinópolis,Imperatriz,Maranhão
Cidelândia,Imperatriz,Maranhão
Campestre do Maranhão,Imperatriz,Maranhão
Buritirana,Imperatriz,Maranhão
Amarante do Maranhão,Imperatriz,Maranhão
Sítio Novo,Barra do Corda,Maranhão
São Pedro dos Crentes,Barra do Corda,Maranhão
Jenipapo dos Vieiras,Barra do Corda,Maranhão
Itaipava do Grajaú,Barra do Corda,Maranhão
Grajaú,Barra do Corda,Maranhão
Formosa da Serra Negra,Barra do Corda,Maranhão
Fernando Falcão,Barra do Corda,Maranhão
Barra do Corda,Barra do Corda,Maranhão
Arame,Barra do Corda,Maranhão
São Francisco do Brejão,Açailândia,Maranhão
Itinga do Maranhão,Açailândia,Maranhão
Buriticupu,Açailândia,Maranhão
Bom Jesus das Selvas,Açailândia,Maranhão
Açailândia,Açailândia,Maranhão
Tasso Fragoso,Balsas,Maranhão
São Raimundo das Mangabeiras,Balsas,Maranhão
São Félix de Balsas,Balsas,Maranhão
Sambaíba,Balsas,Maranhão
Riachão,Balsas,Maranhão
Nova Colinas,Balsas,Maranhão
Loreto,Balsas,Maranhão
Fortaleza dos Nogueiras,Balsas,Maranhão
Feira Nova do Maranhão,Balsas,Maranhão
Carolina,Balsas,Maranhão
Balsas,Balsas,Maranhão
Alto Parnaíba,Balsas,Maranhão
União,Teresina,Piauí
Teresina,Teresina,Piauí
Pau D'Arco do Piauí,Teresina,Piauí
Novo Santo Antônio,Teresina,Piauí
Nazária,Teresina,Piauí
Monsenhor Gil,Teresina,Piauí
Miguel Alves,Teresina,Piauí
Lagoa do Piauí,Teresina,Piauí
Lagoa Alegre,Teresina,Piauí
José de Freitas,Teresina,Piauí
Demerval Lobão,Teresina,Piauí
Curralinhos,Teresina,Piauí
